,0
14320,2
14323,2
14336,2
14337,2
14341,2
14355,2
14356,1
14358,2
14399,2
14417,2
14420,2
14426,2
14463,3
14477,2
14499,2
14563,2
14569,2
14580,2
14585,2
14627,2
14633,2
14643,2
14664,2
14680,2
14692,2
14705,2
14716,2
14725,2
14728,2
14729,2
14734,2
14742,2
14744,2
14761,2
14787,2
14791,2
14817,2
14891,2
14908,2
14914,2
14919,2
14945,2
15014,2
15020,2
15032,2
15042,2
15047,2
15110,1
15118,2
15150,2
15153,2
15157,2
15195,2
15212,2
15288,1
15341,2
15354,2
15393,2
15398,2
15408,2
15422,2
15451,2
15455,2
15493,2
15526,2
15592,2
15606,2
15613,2
15695,2
15700,2
15731,2
15772,2
15849,2
15858,2
15903,2
15943,2
15961,1
15964,2
16007,2
16042,2
16069,2
16082,2
16086,2
16098,2
16106,2
16137,2
16160,2
16176,2
16181,2
16321,2
16353,2
16398,2
16403,2
16409,2
16413,2
16415,2
16432,2
16443,1
16451,2
16491,2
16584,2
16606,2
16611,2
16630,2
16637,2
16640,2
16657,2
16689,2
16716,2
16731,2
16791,2
16795,2
16833,2
16849,2
16853,2
16856,2
16861,2
16885,2
16910,2
16913,2
16964,2
16968,2
16970,2
16983,2
17000,2
17003,2
17029,2
17240,2
17243,2
17335,2
17368,2
17373,2
17382,2
17393,2
17438,2
17449,2
17472,2
17476,2
17499,2
17612,2
17617,2
17627,2
17644,2
17647,2
17651,1
17671,2
17693,2
17713,2
17724,1
17736,2
17749,2
17826,3
17833,2
17843,2
17881,2
17883,2
17888,2
17902,2
17919,2
17935,2
17953,2
17978,3
18003,2
18047,2
18071,2
18123,2
18161,2
18163,2
18168,2
18173,2
18204,2
18275,2
18437,2
18447,2
18467,2
18512,2
18527,2
18531,2
18534,2
18542,2
18543,2
18548,1
18565,2
18652,2
18681,2
18693,2
18719,2
18758,1
18768,2
18769,2
18801,2
18853,2
18870,2
18871,2
18903,2
18918,2
18936,2
18954,2
18974,1
19026,2
19040,2
19050,2
19078,2
19082,2
19103,2
19130,2
19135,2
19173,2
19189,2
19194,2
19202,2
19212,2
19218,2
19233,1
19250,2
19265,2
19301,2
19334,2
19353,2
19365,2
19374,2
19384,2
19389,2
19410,2
19434,2
19465,2
19486,2
19488,2
19521,2
19532,2
19551,2
19554,2
19571,2
19574,2
19627,2
19646,2
19669,2
19711,2
19758,2
19769,2
19800,2
19809,2
19836,2
19837,2
19859,2
19874,2
19915,2
19935,2
19936,2
19947,2
19954,2
19972,2
20003,2
20045,2
20096,2
20104,1
20131,2
20141,1
20158,2
20223,2
20227,2
20231,2
20237,2
20249,2
20258,2
20286,2
20295,2
20306,2
20312,2
20346,2
20358,2
20397,2
20432,2
20457,2
20482,2
20496,2
20536,2
20541,2
20544,2
20555,1
20556,1
20599,2
20655,2
20703,2
20732,2
20765,2
20843,2
20891,2
20901,2
20924,2
20974,2
20983,2
21038,2
21041,2
21062,2
21071,2
21084,2
21091,2
21143,2
21174,2
21193,2
21240,2
21242,2
21254,2
21264,2
21280,2
21287,2
21294,2
21317,2
21326,2
21350,2
21364,2
21389,2
21405,2
21452,2
21471,2
21474,2
21523,2
21541,2
21567,2
21608,2
21610,2
21637,2
21672,2
21737,2
21746,2
21749,2
21777,2
21833,2
21834,2
21873,2
21879,2
21892,2
21894,2
21905,2
21944,1
21951,2
21954,2
21989,2
22016,2
22025,2
22037,2
22081,2
22110,2
22117,2
22166,2
22202,2
22248,2
22260,2
22261,2
22282,2
22344,2
22345,2
22349,2
22414,2
22498,2
22500,2
22516,2
22539,2
22552,2
22605,2
22627,2
22696,2
22729,2
22737,1
22767,2
22770,2
22780,2
22828,2
22893,1
22895,2
22907,2
22960,2
22974,2
22995,2
23022,2
23053,2
23162,2
23167,2
23172,2
23204,1
23215,2
23229,1
23300,2
23314,2
23337,2
23361,2
23375,2
23382,2
23393,2
23397,2
23412,2
23419,2
23424,2
23426,2
23472,2
23473,2
23479,2
23480,2
23488,2
23506,2
23518,2
23552,2
23605,2
23606,2
23608,1
23628,2
23635,2
23669,1
23677,2
23703,2
23735,2
23756,2
23764,2
23771,2
23804,2
23811,2
23816,2
23855,1
23857,2
23870,2
23890,2
23921,2
23999,2
24013,2
24039,2
24077,2
24097,2
24113,2
24120,2
24139,2
24153,3
24165,3
24202,2
24222,2
24238,2
24267,2
24324,2
24332,2
24424,2
24469,2
24492,2
24495,2
24513,2
24540,2
24571,2
24578,2
24588,2
24606,2
24625,2
24668,2
24679,2
24695,2
24699,2
24725,2
24739,2
24796,2
24809,2
24827,2
24864,3
24929,2
24953,2
24998,2
25007,2
25019,2
25025,2
25126,2
25132,2
25146,2
25158,2
25171,2
25192,2
25222,2
25274,2
25320,2
25322,2
25342,2
25373,2
25377,2
25404,2
25448,2
25462,2
25473,2
25510,2
25519,2
25560,2
25618,2
25668,2
25671,2
25685,2
25695,2
25709,2
25714,2
25717,2
25763,2
25783,2
25814,1
25815,2
25840,2
25843,2
25861,2
25914,2
25978,2
26014,2
26021,2
26039,2
26040,2
26049,2
26051,2
26100,2
26129,2
26135,2
26148,2
26162,2
26180,2
26280,2
26325,2
26332,2
26340,2
26363,2
26388,2
26389,2
26461,3
26481,2
26507,2
26510,2
26517,2
26526,2
26545,2
26568,2
26666,2
26674,2
26699,2
26706,2
26723,2
26780,2
26784,2
26836,2
26850,1
26867,2
26886,2
26896,2
26901,2
26922,1
26992,2
27023,3
27034,2
27040,2
27052,2
27061,2
27069,2
27075,2
27094,2
27108,2
27128,2
27129,2
27139,2
27172,2
27233,2
27302,2
27332,2
27407,2
27423,2
27437,2
27470,1
27519,2
27552,2
27646,2
27678,2
27680,2
27717,2
27733,2
27740,2
27768,2
27792,2
27797,2
27822,2
27826,2
27847,2
27848,3
27857,2
27862,2
27863,2
27878,2
27896,2
27909,2
27913,2
27929,2
27935,2
28001,2
28017,2
28019,2
28044,3
28091,2
28132,2
28212,2
28219,1
28231,2
28243,2
28253,2
28266,2
28270,2
28294,2
28307,2
28347,2
28361,2
28367,2
28379,2
28398,2
28410,2
28423,2
28441,2
28449,2
28470,2
28474,2
28547,2
28622,2
28628,2
28693,2
28694,3
28740,2
28773,2
28833,2
28866,2
28909,2
28946,2
28995,1
29064,2
29068,2
29079,2
29101,2
29118,2
29132,2
29165,1
29166,2
29240,2
29247,2
29322,2
29376,2
29384,2
29386,2
29407,2
29419,2
29429,2
29458,2
29498,2
29511,2
29515,2
29559,2
29603,2
29640,2
29641,2
29709,2
29711,2
29738,2
29760,2
29776,2
29814,2
29816,2
29822,1
29831,2
29861,2
29904,2
29927,2
29975,1
29990,2
30060,2
30071,2
30110,2
30126,2
30159,2
30161,2
30222,2
30267,2
30269,2
30285,2
30294,2
30318,2
30319,2
30332,2
30389,2
30394,2
30419,2
30447,2
30456,2
30539,2
30617,2
30689,2
30700,3
30701,2
30770,2
30831,2
30852,3
30880,2
30887,2
30896,2
