,0
19015,3
19020,3
19051,3
19070,3
19071,3
19124,3
19149,1
19185,3
19218,3
19244,3
19251,3
19265,3
19332,3
19346,3
19405,3
19494,3
19538,3
19541,3
19561,3
19596,3
19600,3
19607,3
19610,3
19617,3
19624,3
19653,3
19656,3
19677,3
19693,3
19707,3
19733,2
19757,3
19759,3
19784,3
19815,3
19940,3
19941,3
19971,3
19996,3
20010,3
20016,1
20050,3
20073,3
20089,3
20108,3
20181,3
20184,3
20260,3
20321,3
20328,3
20376,2
20434,3
20503,3
20512,3
20543,3
20557,3
20582,3
20617,3
20643,3
20648,3
20663,3
20690,1
20709,3
20760,3
20810,1
20819,3
20995,3
21035,3
21045,3
21071,3
21096,3
21119,3
21134,3
21142,1
21149,3
21188,3
21198,3
21273,3
21309,3
21328,3
21341,3
21368,3
21426,3
21433,3
21460,3
21521,3
21523,3
21536,3
21541,3
21554,3
21559,3
21564,3
21611,3
21616,3
21628,3
21645,3
21698,3
21743,3
21800,3
21803,3
21855,3
21922,3
21946,3
21971,3
22026,1
22038,3
22051,3
22164,3
22167,3
22212,3
22251,3
22256,3
22258,3
22259,3
22278,3
22281,3
22300,3
22329,3
22335,3
22376,3
22412,3
22422,3
22473,3
22493,3
22529,3
22532,3
22545,3
22549,3
22591,3
22625,3
22667,3
22679,3
22684,3
22704,3
22731,3
22739,3
22748,3
22757,3
22783,3
22820,3
22847,3
22894,3
22919,3
22942,3
22954,3
22959,3
22964,3
22997,3
23001,3
23025,3
23029,3
23061,3
23067,3
23086,3
23117,3
23178,3
23179,3
23187,3
23274,3
23325,3
23403,3
23408,3
23463,3
23482,3
23552,3
23599,3
23682,3
23695,3
23699,3
23735,3
23742,3
23771,3
23825,3
23845,3
23863,3
23881,3
23893,3
23908,3
23968,2
23982,3
23990,3
24025,3
24031,1
24033,3
24076,3
24087,3
24097,3
24151,3
24180,3
24189,2
24294,1
24423,3
24440,3
24466,3
24470,3
24478,3
24480,3
24495,3
24503,3
24512,3
24542,3
24607,3
24618,3
24662,3
24716,3
24743,3
24768,3
24790,3
24850,3
24923,3
25000,3
25091,3
25144,3
25151,3
25160,3
25166,3
25177,3
25180,3
25243,3
25250,3
25255,3
25266,3
25277,2
25292,3
25321,3
25357,1
25386,1
25398,3
25433,3
25444,3
25493,3
25502,3
25513,3
25538,3
25544,3
25546,3
25547,3
25568,1
25576,3
25584,3
25595,3
25645,3
25647,3
25680,3
25767,1
25804,3
25824,3
25828,3
25845,3
25858,3
25901,1
25918,3
25974,3
25990,3
26069,3
26074,3
26086,3
26096,3
26117,3
26137,3
26144,1
26157,1
26200,3
26228,3
26229,3
26268,3
26332,3
26373,3
26416,3
26450,3
26476,3
26502,3
26568,3
26608,3
26670,3
26698,3
26767,3
26816,3
26820,2
26828,3
26840,3
26852,3
26884,3
26955,3
26980,3
26998,3
27025,3
27081,3
27105,3
27127,3
27130,3
27151,3
27155,3
27167,3
27179,2
27196,1
27254,3
27280,3
27300,3
27331,3
27341,3
27355,3
27361,3
27365,3
27367,3
27426,3
27427,2
27455,3
27470,3
27488,3
27495,3
27547,3
27588,3
27594,3
27604,3
27682,3
27688,3
27696,3
27811,1
27836,3
27917,3
27939,3
27946,2
27966,3
27974,3
27979,3
27994,3
28023,3
28149,3
28158,3
28199,3
28272,3
28316,3
28322,3
28360,3
28389,3
28403,3
28407,3
28445,3
28452,1
28479,3
28537,3
28563,3
28777,3
28791,3
28808,3
28816,1
28830,3
28890,3
28913,3
28986,3
28999,3
29002,1
29028,3
29150,3
29184,3
29185,1
29268,3
29379,3
29413,3
29466,3
