,0
14320,3
14323,3
14336,3
14337,3
14341,3
14355,3
14356,1
14358,3
14399,3
14417,3
14420,3
14426,3
14463,3
14477,3
14499,3
14563,3
14569,3
14580,3
14585,3
14627,3
14633,3
14643,3
14664,3
14680,3
14692,3
14705,3
14716,3
14725,3
14728,3
14729,3
14734,3
14742,3
14744,3
14761,1
14787,3
14791,3
14817,3
14891,3
14908,3
14914,3
14919,3
14945,3
15014,1
15020,3
15032,3
15042,3
15047,3
15110,3
15118,3
15150,3
15153,3
15157,3
15195,3
15212,3
15288,1
15341,3
15354,3
15393,3
15398,3
15408,3
15422,3
15451,3
15455,3
15493,3
15526,3
15592,3
15606,3
15613,3
15695,3
15700,3
15731,3
15772,2
15849,3
15858,3
15903,3
15943,3
15961,1
15964,3
16007,3
16042,1
16069,3
16082,3
16086,3
16098,2
16106,3
16137,3
16160,3
16176,3
16181,3
16321,3
16353,1
16398,3
16403,3
16409,3
16413,3
16415,3
16432,3
16443,2
16451,3
16491,3
16584,3
16606,3
16611,3
16630,3
16637,3
16640,3
16657,3
16689,3
16716,3
16731,3
16791,3
16795,3
16833,3
16849,3
16853,3
16856,3
16861,3
16885,3
16910,3
16913,3
16964,3
16968,3
16970,3
16983,3
17000,3
17003,3
17029,3
17240,3
17243,3
17335,3
17368,3
17373,3
17382,3
17393,1
17438,3
17449,3
17472,3
17476,1
17499,3
17612,3
17617,3
17627,3
17644,1
17647,3
17651,1
17671,3
17693,3
17713,3
17724,2
17736,3
17749,3
17826,3
17833,3
17843,3
17881,3
17883,3
17888,3
17902,3
17919,3
17935,3
17953,3
17978,3
18003,3
18047,3
18071,3
18123,3
18161,3
18163,3
18168,3
18173,3
18204,3
18275,3
18437,3
18447,3
18467,3
18512,3
18527,3
18531,3
18534,2
18542,3
18543,3
18548,2
18565,3
18652,1
18681,3
18693,3
18719,3
18758,1
18768,3
18769,3
18801,3
18853,3
18870,3
18871,3
18903,3
18918,3
18936,3
18954,3
18974,1
19026,3
19040,3
19050,3
19078,3
19082,3
19103,3
19130,3
19135,3
19173,3
19189,3
19194,3
19202,3
19212,3
19218,3
19233,2
19250,3
19265,3
19301,3
19334,1
19353,3
19365,3
19374,3
19384,3
19389,3
19410,3
19434,3
19465,3
19486,3
19488,3
19521,3
19532,3
19551,3
19554,3
19571,3
19574,3
19627,3
19646,1
19669,3
19711,1
19758,3
19769,3
19800,3
19809,3
19836,3
19837,3
19859,2
19874,3
19915,3
19935,3
19936,3
19947,3
19954,3
19972,3
20003,3
20045,3
20096,3
20104,1
20131,3
20141,2
20158,3
20223,3
20227,3
20231,3
20237,3
20249,3
20258,3
20286,1
20295,3
20306,3
20312,3
20346,3
20358,3
20397,3
20432,1
20457,3
20482,3
20496,3
20536,3
20541,3
20544,3
20555,2
20556,1
20599,3
20655,3
20703,3
20732,3
20765,3
20843,1
20891,3
20901,3
20924,3
20974,3
20983,3
21038,3
21041,3
21062,3
21071,3
21084,3
21091,3
21143,3
21174,3
21193,3
21240,3
21242,3
21254,3
21264,3
21280,3
21287,3
21294,3
21317,3
21326,3
21350,3
21364,3
21389,3
21405,3
21452,3
21471,1
21474,3
21523,3
21541,3
21567,1
21608,3
21610,1
21637,3
21672,3
21737,3
21746,3
21749,3
21777,3
21833,3
21834,3
21873,1
21879,3
21892,3
21894,3
21905,3
21944,2
21951,3
21954,3
21989,3
22016,3
22025,3
22037,1
22081,3
22110,3
22117,3
22166,3
22202,2
22248,3
22260,2
22261,3
22282,3
22344,3
22345,3
22349,3
22414,3
22498,3
22500,3
22516,2
22539,3
22552,3
22605,3
22627,3
22696,3
22729,3
22737,3
22767,3
22770,3
22780,3
22828,3
22893,2
22895,3
22907,3
22960,3
22974,1
22995,1
23022,1
23053,1
23162,2
23167,3
23172,3
23204,1
23215,3
23229,1
23300,3
23314,3
23337,3
23361,3
23375,3
23382,3
23393,3
23397,3
23412,3
23419,3
23424,3
23426,3
23472,1
23473,3
23479,3
23480,3
23488,1
23506,3
23518,3
23552,3
23605,3
23606,3
23608,1
23628,3
23635,3
23669,1
23677,3
23703,3
23735,3
23756,3
23764,3
23771,3
23804,2
23811,3
23816,3
23855,2
23857,3
23870,3
23890,3
23921,3
23999,3
24013,3
24039,3
24077,3
24097,3
24113,3
24120,3
24139,1
24153,3
24165,3
24202,3
24222,3
24238,3
24267,3
24324,3
24332,3
24424,3
24469,3
24492,3
24495,3
24513,3
24540,3
24571,3
24578,3
24588,3
24606,3
24625,3
24668,3
24679,1
24695,3
24699,3
24725,3
24739,3
24796,3
24809,3
24827,3
24864,1
24929,3
24953,3
24998,3
25007,3
25019,3
25025,3
25126,3
25132,3
25146,3
25158,3
25171,3
25192,3
25222,3
25274,3
25320,3
25322,1
25342,3
25373,3
25377,3
25404,3
25448,3
25462,3
25473,3
25510,3
25519,3
25560,3
25618,3
25668,3
25671,3
25685,3
25695,1
25709,1
25714,3
25717,3
25763,3
25783,1
25814,1
25815,3
25840,3
25843,3
25861,3
25914,3
25978,2
26014,1
26021,3
26039,3
26040,3
26049,3
26051,3
26100,3
26129,3
26135,3
26148,3
26162,3
26180,3
26280,3
26325,3
26332,3
26340,3
26363,3
26388,3
26389,3
26461,3
26481,1
26507,3
26510,3
26517,3
26526,3
26545,3
26568,3
26666,3
26674,3
26699,3
26706,3
26723,3
26780,3
26784,3
26836,3
26850,3
26867,3
26886,3
26896,3
26901,3
26922,3
26992,3
27023,3
27034,3
27040,3
27052,3
27061,3
27069,3
27075,3
27094,3
27108,3
27128,3
27129,3
27139,3
27172,3
27233,3
27302,3
27332,3
27407,3
27423,3
27437,3
27470,3
27519,3
27552,3
27646,1
27678,3
27680,3
27717,3
27733,3
27740,3
27768,3
27792,3
27797,3
27822,3
27826,3
27847,3
27848,3
27857,3
27862,3
27863,3
27878,3
27896,3
27909,1
27913,3
27929,3
27935,3
28001,3
28017,3
28019,3
28044,1
28091,3
28132,3
28212,3
28219,1
28231,3
28243,3
28253,3
28266,3
28270,3
28294,3
28307,3
28347,3
28361,3
28367,3
28379,3
28398,3
28410,3
28423,3
28441,3
28449,3
28470,3
28474,3
28547,3
28622,3
28628,1
28693,3
28694,3
28740,3
28773,3
28833,3
28866,3
28909,3
28946,3
28995,1
29064,3
29068,3
29079,3
29101,2
29118,3
29132,3
29165,3
29166,3
29240,3
29247,3
29322,3
29376,3
29384,3
29386,3
29407,3
29419,3
29429,3
29458,3
29498,3
29511,3
29515,3
29559,3
29603,3
29640,3
29641,3
29709,3
29711,3
29738,3
29760,3
29776,3
29814,3
29816,3
29822,1
29831,3
29861,3
29904,3
29927,3
29975,3
29990,3
30060,3
30071,1
30110,3
30126,3
30159,3
30161,3
30222,3
30267,3
30269,3
30285,1
30294,3
30318,3
30319,3
30332,3
30389,3
30394,1
30419,3
30447,1
30456,3
30539,3
30617,3
30689,3
30700,3
30701,1
30770,3
30831,3
30852,1
30880,3
30887,1
30896,1
30918,3
30992,3
30993,3
31015,3
31029,2
31074,3
31086,3
31136,2
31149,1
31151,3
31165,3
31168,1
31198,3
31219,1
31288,3
31316,3
31317,3
