,0
19015,3
19020,1
19051,1
19070,1
19071,1
19124,3
19149,1
19185,1
19218,1
19244,1
19251,1
19265,1
19332,1
19346,1
19405,1
19494,1
19538,1
19541,1
19561,1
19596,1
19600,1
19607,1
19610,1
19617,1
19624,1
19653,1
19656,1
19677,1
19693,1
19707,1
19733,1
19757,1
19759,1
19784,1
19815,1
19940,3
19941,1
19971,1
19996,1
20010,1
20016,1
20050,1
20073,1
20089,1
20108,1
20181,1
20184,1
20260,1
20321,1
20328,1
20376,1
20434,1
20503,1
20512,1
20543,1
20557,1
20582,1
20617,1
20643,1
20648,1
20663,1
20690,1
20709,1
20760,3
20810,1
20819,1
20995,1
21035,1
21045,3
21071,1
21096,1
21119,1
21134,1
21142,1
21149,1
21188,1
21198,1
21273,1
21309,1
21328,1
21341,1
21368,3
21426,1
21433,1
21460,1
21521,3
21523,1
21536,1
21541,1
21554,1
21559,1
21564,1
21611,1
21616,1
21628,3
21645,1
21698,1
21743,1
21800,1
21803,1
21855,1
21922,1
21946,1
21971,1
22026,1
22038,1
22051,1
22164,1
22167,1
22212,1
22251,1
22256,1
22258,1
22259,1
22278,1
22281,1
22300,1
22329,1
22335,1
22376,1
22412,2
22422,1
22473,1
22493,1
22529,1
22532,1
22545,3
22549,1
22591,1
22625,1
22667,1
22679,2
22684,1
22704,1
22731,1
22739,3
22748,1
22757,1
22783,1
22820,1
22847,1
22894,1
22919,1
22942,1
22954,1
22959,1
22964,1
22997,1
23001,1
23025,1
23029,1
23061,1
23067,1
23086,1
23117,1
23178,1
23179,1
23187,1
23274,1
23325,1
23403,3
23408,3
23463,1
23482,1
23552,1
23599,1
23682,1
23695,1
23699,1
23735,1
23742,1
23771,1
23825,1
23845,1
23863,1
23881,1
23893,1
23908,1
23968,1
23982,1
23990,1
24025,1
24031,1
24033,1
24076,3
24087,1
24097,1
24151,1
24180,1
24189,1
24294,1
24423,3
24440,1
24466,1
24470,1
24478,3
24480,1
24495,1
24503,1
24512,1
24542,1
24607,3
24618,1
24662,1
24716,1
24743,1
24768,1
24790,3
24850,3
24923,1
25000,1
25091,1
25144,1
25151,1
25160,1
25166,1
25177,1
25180,1
25243,1
25250,1
25255,1
25266,1
25277,1
25292,1
25321,1
25357,1
25386,1
25398,1
25433,1
25444,1
25493,1
25502,1
25513,1
25538,3
25544,1
25546,1
25547,1
25568,1
25576,1
25584,1
25595,1
25645,1
25647,1
25680,1
25767,1
25804,1
25824,1
25828,1
25845,1
25858,1
25901,1
25918,1
25974,1
25990,1
26069,1
26074,1
26086,1
26096,1
26117,1
26137,1
26144,1
26157,1
26200,1
26228,1
26229,1
26268,1
26332,1
26373,1
26416,1
26450,1
26476,1
26502,1
26568,1
26608,1
26670,1
26698,1
26767,1
26816,1
26820,1
26828,1
26840,1
26852,1
26884,1
26955,1
26980,1
26998,1
27025,1
27081,1
27105,1
27127,1
27130,1
27151,1
27155,1
27167,1
27179,1
27196,1
27254,1
27280,1
27300,1
27331,1
27341,1
27355,1
27361,1
27365,1
27367,1
27426,1
27427,1
27455,1
27470,1
27488,1
27495,1
27547,1
27588,1
27594,1
27604,1
27682,1
27688,1
27696,1
27811,1
27836,1
27917,1
27939,1
27946,1
27966,1
27974,1
27979,1
27994,1
28023,1
28149,1
28158,2
28199,1
28272,3
28316,1
28322,1
28360,1
28389,3
28403,1
28407,1
28445,1
28452,1
28479,1
28537,1
28563,1
28777,1
28791,1
28808,1
28816,1
28830,1
28890,1
28913,3
28986,1
28999,3
29002,1
29028,1
29150,3
29184,1
29185,1
29268,1
29379,1
29413,1
29466,1
29503,1
29514,1
29547,1
29577,1
29579,1
29603,1
29627,1
29694,1
29701,1
29709,1
29736,1
29763,1
29784,1
29787,1
29807,1
29815,1
29873,1
29914,1
29962,1
30059,1
30081,1
