,110-CD3,115-CD45,139-CD45RA,142-CD19,144-CD11b,145-CD4,146-CD8,147-CD20,148-CD34,158-CD33,160-CD123,167-CD38,170-CD90
12,-2.3074350357055664,204.43817138671875,77.86760711669922,42.64113235473633,-0.2854434847831726,-0.3722020983695984,-4.4277191162109375,17.261219024658203,-0.4885740578174591,-3.711009979248047,34.50566864013672,19.478870391845703,5.564789772033691
30,1.7467200756072998,284.2820129394531,28.760955810546875,38.49995422363281,1.2755777835845947,-1.6539286375045776,-0.02409825287759304,39.80894088745117,-0.4635615646839142,0.135652095079422,50.31915283203125,22.642669677734375,-0.4181748628616333
45,-4.815867900848389,234.770751953125,62.574378967285156,44.69293975830078,3.5402092933654785,-0.5260922312736511,0.17286543548107147,40.24778366088867,2.179591178894043,5.230490684509277,-0.8046336770057678,59.01020050048828,-0.5741450190544128
73,1.3101141452789307,108.83635711669922,48.661460876464844,34.5067253112793,-1.216141939163208,-0.4642205536365509,2.820164918899536,37.4113655090332,-0.31540122628211975,0.30383580923080444,22.056703567504883,23.780250549316406,4.541167259216309
94,-0.8032209873199463,390.6623840332031,114.21009063720703,55.11601257324219,2.0539796352386475,5.9312567710876465,6.476482391357422,71.01240539550781,4.486229419708252,12.687018394470215,0.9027259349822998,27.337268829345703,4.739446640014648
134,-0.46778061985969543,222.7763214111328,105.63603973388672,13.945119857788086,2.0373148918151855,0.65238356590271,-0.8374651074409485,47.286067962646484,-0.33403146266937256,-0.9949125647544861,9.6083345413208,22.142318725585938,14.713388442993164
142,1.785325527191162,190.06251525878906,27.69072151184082,67.31346130371094,8.151609420776367,-0.37550419569015503,-0.5283958911895752,81.32088470458984,1.0109827518463135,-0.8038591146469116,1.7151916027069092,12.135878562927246,0.18648406863212585
161,14.534683227539062,494.3111877441406,102.47254943847656,81.9619369506836,2.9828433990478516,2.904104709625244,-0.8518643975257874,22.162368774414062,1.6361643075942993,7.760895252227783,0.39719295501708984,35.06625747680664,14.083566665649414
198,-1.7697621583938599,145.57969665527344,47.049198150634766,37.08810043334961,2.2288293838500977,-0.0873953104019165,0.1293075531721115,67.34754943847656,5.286777496337891,5.724335670471191,-0.33918413519859314,98.07545471191406,-0.795903742313385
211,-1.1371086835861206,317.8623046875,118.74461364746094,32.14800262451172,7.186142921447754,-0.6762391924858093,1.6469782590866089,21.59100914001465,0.8884566426277161,12.444536209106445,-0.7309092283248901,50.29583740234375,15.963871955871582
223,-0.0824006050825119,473.74566650390625,134.2755889892578,54.33692932128906,11.401935577392578,-0.5140721797943115,-0.9662589430809021,116.78325653076172,-0.053671013563871384,5.245457649230957,5.432391166687012,118.72897338867188,26.444347381591797
349,-1.7172441482543945,248.74661254882812,112.37516784667969,26.210250854492188,-0.8240187764167786,-0.06072360277175903,4.676919937133789,17.426349639892578,1.3955674171447754,2.9493629932403564,-0.6820461750030518,67.54307556152344,12.307632446289062
375,-1.4876848459243774,222.49276733398438,13.178319931030273,27.608808517456055,6.117373466491699,-1.004354476928711,-0.7343236207962036,30.898284912109375,2.0297577381134033,5.685681343078613,55.0644645690918,29.6558837890625,15.289559364318848
422,2.0929884910583496,611.2531127929688,149.50999450683594,44.41267776489258,1.8011856079101562,-0.6370686888694763,19.708942413330078,23.77210807800293,1.4074445962905884,5.566826820373535,11.454079627990723,38.51015853881836,4.629844665527344
425,-0.050246551632881165,119.60124206542969,61.19831085205078,23.878549575805664,-0.6135665774345398,4.16871452331543,-0.473688542842865,63.96512985229492,-0.89928138256073,6.309637069702148,29.564512252807617,65.12445831298828,1.8398821353912354
483,-0.9351217150688171,113.28721618652344,10.716632843017578,15.559194564819336,-0.7258238196372986,-0.20941954851150513,0.43834763765335083,16.163589477539062,5.399047374725342,-4.690269947052002,29.3586483001709,13.955425262451172,3.2019734382629395
